"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12"
"illegal";0,56;0;0,494;0,519;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0,134
"hide";0,517;0,392;0,364;0,392;0,445;0,488;0,114;0,501;0,594;0,392;0,001;0,481
"general";0,44;0,392;0,364;0,392;0;0;0,364;0,501;0,412;0,392;0,428;0,481
"foreign";0,44;0,653;0,364;0,392;0,445;0,488;0,737;0;0,412;0,392;0,428;0,481
"enemy";0,475;0,429;0,401;0,537;0,48;0,006;0,401;0,534;0,448;0,537;0,023;0,515
"effective";0,56;0,519;0,494;0,519;0,565;0,601;0,338;0,612;0,243;0,519;0,002;0,596
"device";0,514;0,47;0,444;0,47;0,293;0,558;0,444;0,57;0;0,47;0,329;0,553
"detail";0,56;0,519;0,494;0,519;0,565;0;0,494;0,612;0,537;0,519;0,215;0,596
"dakota";0,614;0,577;0,554;0,577;0,619;0,651;0,554;0,661;0,593;0,001;0,109;0,646
"build";0,56;0,281;0,494;0,281;0,565;0,601;0,494;0,612;0,537;0,519;0,551;0
"bite";0,514;0,47;0,444;0,47;0,293;0,002;0,482;0,57;0,489;0,47;0,329;0,553
"billion";0,019;0,043;0,401;0,537;0,48;0,521;0,401;0,534;0,448;0,429;0,442;0,515
"accuse";0,305;0,47;0,03;0,47;0,52;0,002;0,444;0,57;0,489;0,47;0,504;0,553
"wow";0,514;0,47;0,444;0,412;0,52;0,558;0,444;0;0,489;0,47;0,504;0,553
"warship";0,475;0,429;0,401;0,429;0,48;0,521;0,401;0,534;0,448;0,429;0,464;0
"warplane";0,475;0,429;0;0,429;0,48;0,521;0,401;0,534;0,448;0,429;0,464;0,515
"vote";0,614;0,577;0,554;0,153;0,619;0,651;0,193;0,661;0,593;0,577;0,605;0,06
"understand";0,614;0,577;0,554;0,577;0,619;0,651;0;0,661;0,593;0,577;0,605;0,646
"twitter";0,514;0,47;0,444;0,47;0,006;0,002;0,482;0,57;0,489;0,47;0,504;0,553
"train";0,007;0,47;0,444;0,412;0,52;0,558;0,444;0,57;0,489;0,47;0,329;0,221
"threaten";0,413;0,537;0;0,429;0,48;0,521;0,401;0,534;0,448;0,429;0,464;0,515
"target";0,475;0,537;0,401;0,537;0,399;0,521;0,401;0,534;0,448;0,537;0,023;0,515
"super";0,305;0,47;0,444;0,47;0,52;0,558;0,444;0,57;0,365;0,412;0,329;0,221
"spend";0,614;0,153;0,554;0,153;0,619;0,651;0,554;0,661;0,593;0,577;0,109;0,646
"soil";0;0,429;0,401;0,429;0,48;0,521;0,401;0,534;0,448;0,429;0,464;0,313
"signal";0,475;0,429;0,401;0,429;0,48;0,521;0,615;0,534;0,448;0,429;0;0,515
"sighting";0,475;0,429;0;0,429;0,48;0,521;0,401;0,534;0,448;0,537;0,464;0,515
"sensitive";0,514;0,412;0,444;0,412;0,52;0,558;0,482;0,57;0,489;0,412;0,504;0,221
"research";0,514;0,412;0,444;0,47;0,293;0,558;0,444;0,001;0,365;0,47;0,504;0,553
"police";0,002;0,519;0,494;0,519;0,565;0,601;0,494;0,109;0,243;0,519;0,551;0,596
"place";0,197;0,519;0,494;0,519;0,187;0,601;0,338;0,612;0,537;0,281;0,551;0,596
"picture";0,475;0,537;0,401;0,429;0,48;0,521;0,401;0,534;0,448;0,429;0;0,515
"orbit";0,614;0,577;0,554;0,577;0,619;0,651;0,193;0,661;0,593;0,577;0,109;0,06
"multiple";0,514;0,47;0,03;0,47;0,293;0,558;0,444;0,57;0,365;0,412;0,504;0,553
